"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"SE12 East-Central Sweden","65-74 years","upper secondary education 3 years (ISCED97 3A)","men",5136,5487,5834,6171,6433,6687,6948,7120,7248,7407,7420,7454,7539,7541,7671,7864,8075,8447,8937,9441,9927,10425,11151,12107,13223,14190,15125,15942,16497,16947,17112,17049,16892,16200,15299,14432
"SE12 East-Central Sweden","65-74 years","upper secondary education 3 years (ISCED97 3A)","women",1055,1158,1236,1326,1378,1433,1524,1574,1633,1660,1659,1679,1705,1738,1798,1909,2007,2095,2260,2465,2715,2988,3335,3744,4226,4760,5336,5941,6487,7015,7582,8069,8687,9030,9317,9588
"SE12 East-Central Sweden","65-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",1700,1858,1948,2067,2166,2295,2441,2534,2660,2764,2825,2962,3090,3166,3274,3364,3497,3671,3902,4181,4479,4791,5255,5802,6370,6993,7587,8220,8768,9364,10100,10656,11171,11594,11920,12211
"SE12 East-Central Sweden","65-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",1757,1856,1932,2008,2065,2178,2263,2382,2549,2719,2871,3019,3239,3435,3632,3424,3667,3952,4279,4659,5106,5546,6066,6724,7535,8287,8998,9784,10547,11327,11983,12701,13315,13798,14014,14336
"SE12 East-Central Sweden","65-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",2224,2311,2413,2539,2688,2961,3103,3222,3362,3526,3682,3758,3928,4060,4175,4295,4479,4692,4916,5208,5471,5890,6447,7147,8087,9044,9935,10705,11574,12268,12997,13393,13640,13708,13456,13228
"SE12 East-Central Sweden","65-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",1477,1563,1627,1694,1800,1907,2086,2264,2463,2644,2870,3121,3357,3584,3792,4555,4967,5314,5758,6197,6590,7061,7775,8578,9579,10494,11436,12391,13284,14112,14915,15471,15851,16185,16218,16217
"SE12 East-Central Sweden","65-74 years","post-graduate education (ISCED97 6)","men",331,360,370,417,426,383,422,458,496,533,573,599,647,676,726,773,819,888,963,1025,1085,1155,1271,1382,1487,1555,1634,1683,1740,1784,1818,1828,1850,1847,1848,1856
"SE12 East-Central Sweden","65-74 years","post-graduate education (ISCED97 6)","women",67,79,88,94,99,92,95,98,101,106,113,116,124,122,132,143,156,174,203,225,249,289,348,401,456,500,546,588,623,696,734,762,779,802,833,873
"SE12 East-Central Sweden","65-74 years","no information about level of educational attainment","men",1515,1403,1397,1406,1422,1429,1323,1271,1177,1196,1129,1082,991,905,810,741,721,706,695,693,683,652,667,666,670,690,685,712,740,671,652,693,693,686,680,666
"SE12 East-Central Sweden","65-74 years","no information about level of educational attainment","women",2456,2241,2097,2006,1957,1910,1778,1692,1603,1630,1680,1615,1468,1366,1278,1173,1170,1149,1140,1103,1040,980,950,923,917,909,916,918,931,894,859,916,936,910,897,844
"SE21 Småland and islands","16-24 years","primary and secondary education less than 9 years (ISCED97 1)","men",10,105,72,130,116,360,240,188,147,149,211,169,111,91,81,76,70,120,144,188,208,264,369,437,398,436,485,505,499,564,617,689,704,753,848,758
"SE21 Småland and islands","16-24 years","primary and secondary education less than 9 years (ISCED97 1)","women",16,110,80,140,125,274,179,157,100,177,217,181,135,112,111,105,100,140,143,206,231,235,286,300,300,338,387,399,377,422,417,440,440,438,375,340
"SE21 Småland and islands","16-24 years","primary and secondary education 9-10 years (ISCED97 2)","men",20852,20621,20030,19750,19730,19936,19229,18587,17770,17863,19379,18886,19000,19135,19631,19315,19128,19405,19417,19926,20487,21153,21765,21996,21730,21043,20235,19167,17842,17614,17144,17117,17449,18096,18607,18897
"SE21 Småland and islands","16-24 years","primary and secondary education 9-10 years (ISCED97 2)","women",19017,18666,18536,18440,18262,18025,17616,17002,16336,16831,17624,17420,17562,17311,17456,17030,17148,17421,17686,18120,18741,19489,19785,20038,19567,19021,18094,17060,15849,15468,15085,15158,15214,15664,16143,16564
"SE21 Småland and islands","16-24 years","upper secondary education, 2 years or less (ISCED97 3C)","men",18588,19415,20113,20532,20237,20453,19460,18390,16765,14118,10561,7680,5293,3332,1761,1577,1700,2053,1919,1817,1595,1830,2054,2111,2101,2054,2043,1852,1702,1670,1678,1775,1735,1632,1677,1893
"SE21 Småland and islands","16-24 years","upper secondary education, 2 years or less (ISCED97 3C)","women",18346,18169,18241,18010,17432,17406,16388,15530,14203,11843,8940,6260,4268,2545,1318,1085,1134,1300,1188,1158,1095,1231,1471,1422,1460,1427,1435,1350,1275,1301,1328,1377,1340,1259,1189,1165
"SE21 Småland and islands","16-24 years","upper secondary education 3 years (ISCED97 3A)","men",5121,5246,5454,5518,5610,6867,7335,7608,8528,10293,12284,14812,16210,17524,17950,17483,17548,17165,17617,17788,18555,19034,19628,20542,21444,21888,22316,22785,22963,22312,21469,20513,19617,18852,18351,18069
"SE21 Småland and islands","16-24 years","upper secondary education 3 years (ISCED97 3A)","women",6108,6538,7000,7422,7575,8627,8948,8665,9350,10775,12375,13978,14740,15568,15930,15452,15445,15145,15382,15644,16138,16571,17492,18241,19027,19145,19622,19805,19588,18865,18067,17077,16508,15733,15243,15138
"SE21 Småland and islands","16-24 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",2290,2663,3126,3410,3565,3741,3509,3581,3794,3797,3679,3444,3301,3112,2945,3128,3302,3645,3907,3948,3863,3663,3699,3765,3911,4428,4662,4542,4514,4509,4321,4357,4141,3846,3586,3460
"SE21 Småland and islands","16-24 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",1284,1593,1693,1871,2152,2643,2572,3363,3595,3610,3754,3765,4005,3903,4001,4256,4402,4768,5108,5231,5121,5110,5117,5382,5439,5849,6071,6088,6053,5930,5638,5556,5226,4856,4671,4542
"SE21 Småland and islands","16-24 years","post-secondary education 3 years or more (ISCED97 5A)","men",84,97,115,91,101,193,135,75,82,147,129,161,171,184,177,587,574,603,696,734,717,702,669,647,651,678,654,798,805,829,847,827,705,678,609,712
"SE21 Småland and islands","16-24 years","post-secondary education 3 years or more (ISCED97 5A)","women",202,285,285,275,270,310,282,185,200,265,374,562,630,724,701,1295,1284,1320,1459,1468,1497,1431,1443,1374,1415,1504,1544,1733,1790,1745,1744,1715,1623,1553,1395,1522
"SE21 Småland and islands","16-24 years","post-graduate education (ISCED97 6)","men",1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,3,2,1,3,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0
"SE21 Småland and islands","16-24 years","post-graduate education (ISCED97 6)","women",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SE21 Småland and islands","16-24 years","no information about level of educational attainment","men",4374,3668,3427,3159,3408,519,1082,1234,1703,1610,1000,1074,1098,1260,1269,1319,1412,1313,1459,1483,1522,1857,1783,1831,1988,2043,1952,2006,2204,2118,2329,3024,3460,3680,3694,3083
"SE21 Småland and islands","16-24 years","no information about level of educational attainment","women",2252,1860,1870,1872,2094,358,880,1098,1577,1318,843,865,850,970,1057,1048,1136,1044,1191,1257,1207,1474,1373,1528,1611,1594,1443,1442,1555,1552,1659,2016,2114,2173,2163,1916
"SE21 Småland and islands","25-34 years","primary and secondary education less than 9 years (ISCED97 1)","men",2619,1789,1083,691,335,955,844,808,723,813,795,718,602,541,500,391,353,382,430,452,443,525,624,710,795,934,984,1047,1170,1325,1461,1661,1647,1621,1524,1447
"SE21 Småland and islands","25-34 years","primary and secondary education less than 9 years (ISCED97 1)","women",1563,1195,736,606,430,737,658,621,570,891,907,888,768,726,703,558,537,543,585,590,609,623,704,788,827,881,1003,1039,1139,1229,1369,1469,1531,1492,1470,1352
"SE21 Småland and islands","25-34 years","primary and secondary education 9-10 years (ISCED97 2)","men",12142,11852,11379,10622,9525,12690,12138,11423,10738,10199,9731,9415,9168,8646,8105,6088,5513,5232,5194,5211,5003,4878,4842,4810,4746,4868,4972,4928,4760,4836,5024,5215,5231,5227,5272,5291
"SE21 Småland and islands","25-34 years","primary and secondary education 9-10 years (ISCED97 2)","women",10724,10459,10155,9724,8610,8398,7938,7265,6769,6449,6216,6107,6113,5981,5814,4119,3770,3566,3375,3280,3057,2881,2869,2838,2787,2854,2860,2845,2796,2861,2983,3059,3055,3145,3123,3102
"SE21 Småland and islands","25-34 years","upper secondary education, 2 years or less (ISCED97 3C)","men",17617,18394,19387,20522,21697,23831,24388,25014,25552,26053,26309,26283,25751,24882,23487,21505,19133,16468,13945,11721,9762,7927,6471,5313,4268,3823,3663,3995,4315,4450,4516,4765,4891,5005,5169,5131
"SE21 Småland and islands","25-34 years","upper secondary education, 2 years or less (ISCED97 3C)","women",18847,19190,19687,20266,21314,23404,23463,23507,23425,23244,23024,22670,21665,20608,19078,15795,13684,11534,9692,8161,6819,5398,4468,3655,3128,2753,2696,2888,3096,3151,3205,3462,3649,3725,3793,3774
"SE21 Småland and islands","25-34 years","upper secondary education 3 years (ISCED97 3A)","men",4593,4155,3947,3951,3820,5043,5179,5204,5154,5735,5743,5753,6166,6726,7618,9818,11195,12685,13899,15203,16399,17583,18615,19351,19990,20221,20570,20637,20988,21680,22721,23770,24893,25762,26181,26462
"SE21 Småland and islands","25-34 years","upper secondary education 3 years (ISCED97 3A)","women",3935,3837,3808,3951,4157,5197,5738,6213,6609,7406,7701,7927,7973,8183,8462,11411,12083,12754,12979,13322,13689,14093,14338,14463,14505,14595,14754,14831,15089,15492,16119,16738,17339,17634,17786,17780
"SE21 Småland and islands","25-34 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",4279,4351,4335,4445,4725,5692,5927,6518,6832,7309,7667,7971,8201,8206,8322,7311,6897,6684,6500,6311,6083,5927,5839,5904,5994,6196,6480,6759,6998,7316,7815,8456,8825,9155,9313,9125
"SE21 Småland and islands","25-34 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",5924,6001,5833,5692,5923,6949,6878,7232,7387,7747,7822,8020,8389,8426,8413,7376,7081,6763,6587,6346,5970,5656,5436,5331,5517,5784,5985,6313,6556,6863,7330,7839,8386,8767,8848,8731
"SE21 Småland and islands","25-34 years","post-secondary education 3 years or more (ISCED97 5A)","men",3152,3025,2880,2727,2841,3185,3091,2835,2787,3015,3035,3049,3044,3119,3250,4729,5205,5751,6352,7033,7570,7858,8069,8061,8094,8063,7997,7894,7949,8058,8156,8317,8447,8752,8935,9208
"SE21 Småland and islands","25-34 years","post-secondary education 3 years or more (ISCED97 5A)","women",2955,2909,2835,2770,2863,3072,3082,2944,2957,3278,3452,3600,3982,4433,4989,7229,8172,9098,10020,11082,12106,12750,13221,13494,13627,13686,13656,13866,14151,14380,14663,15066,15337,15948,16383,16787
"SE21 Småland and islands","25-34 years","post-graduate education (ISCED97 6)","men",50,48,38,39,39,28,29,21,18,31,27,28,33,39,54,73,73,80,76,76,78,95,101,103,101,95,89,80,67,70,73,65,62,66,66,76
"SE21 Småland and islands","25-34 years","post-graduate education (ISCED97 6)","women",42,39,32,31,35,12,9,8,4,18,20,20,16,23,29,36,48,59,64,63,64,68,75,84,79,79,72,70,70,61,60,60,65,65,60,66
"SE21 Småland and islands","25-34 years","no information about level of educational attainment","men",6463,6533,6975,7473,8447,971,1391,1486,1947,975,801,813,583,611,437,422,489,443,554,590,634,877,1094,1190,1274,1342,1275,1272,1367,1391,1448,1808,1932,1959,2056,2044
"SE21 Småland and islands","25-34 years","no information about level of educational attainment","women",3896,3679,3873,3948,4367,529,883,1024,1614,747,585,610,540,601,431,451,504,493,592,625,568,746,798,903,1018,1046,929,977,1001,1041,1015,1282,1423,1396,1496,1386
"SE21 Småland and islands","35-44 years","primary and secondary education less than 9 years (ISCED97 1)","men",19325,18232,16591,14901,12947,10600,8687,6810,5232,4073,3065,2296,1703,1327,1106,884,843,821,837,812,788,788,820,829,816,869,886,939,1015,1180,1371,1518,1616,1660,1710,1742
"SE21 Småland and islands","35-44 years","primary and secondary education less than 9 years (ISCED97 1)","women",14530,13384,11970,10508,8636,6735,5377,4117,3149,2640,2141,1713,1384,1227,1144,965,965,979,1001,990,1001,1046,1094,1134,1121,1170,1197,1252,1325,1405,1511,1612,1659,1803,1842,1854
"SE21 Småland and islands","35-44 years","primary and secondary education 9-10 years (ISCED97 2)","men",5379,6177,7156,8536,9919,9964,10858,11563,12195,12656,12962,12942,13130,12997,12670,11134,10533,9884,9235,8584,8070,7662,7218,6721,6249,5660,5169,4879,4879,4973,4876,4862,4820,4784,4684,4811
"SE21 Småland and islands","35-44 years","primary and secondary education 9-10 years (ISCED97 2)","women",6685,7106,7521,8099,8468,8240,8534,8355,8439,8590,8614,8485,8491,8371,7999,6280,5787,5355,4910,4526,4251,4080,3843,3653,3466,3220,3018,2891,2835,2819,2729,2695,2741,2738,2697,2717
"SE21 Småland and islands","35-44 years","upper secondary education, 2 years or less (ISCED97 3C)","men",14087,14606,15035,15154,14916,16943,17356,17680,18065,18839,19347,19879,20468,21143,22033,23391,24014,24737,25254,25409,25492,25418,25007,24168,22923,21029,18910,16512,14274,12332,10642,9042,7744,6667,5720,5330
"SE21 Småland and islands","35-44 years","upper secondary education, 2 years or less (ISCED97 3C)","women",18702,19347,19782,19932,20176,21695,21638,21871,21587,21554,21587,21629,21681,21750,21998,21495,21119,20748,20288,19576,18890,18307,17383,16369,15071,13664,12145,10635,9264,8096,7064,5895,5193,4593,4160,3929
"SE21 Småland and islands","35-44 years","upper secondary education 3 years (ISCED97 3A)","men",7341,7438,7323,7087,6737,7329,6984,6572,6184,6067,5818,5474,5281,5101,5028,5592,5741,5914,6026,6153,6308,6513,6897,7414,8213,9303,10537,11959,13084,14340,15531,16639,17513,18242,18900,19151
"SE21 Småland and islands","35-44 years","upper secondary education 3 years (ISCED97 3A)","women",2816,3115,3419,3544,3756,4366,4419,4552,4569,4791,4751,4741,4775,4887,5032,7127,7887,8629,9292,9662,10143,10494,10744,10991,11206,11472,11673,11900,11935,12252,12451,12600,12749,12883,12996,13066
"SE21 Småland and islands","35-44 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",3911,4192,4345,4546,4771,5708,5788,5846,5926,6122,6203,6178,6202,6258,6386,6538,6724,7002,7199,7419,7508,7641,7680,7662,7469,7270,7065,6802,6540,6544,6523,6634,6726,6844,6966,7189
"SE21 Småland and islands","35-44 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",5109,5385,5660,5925,6252,7540,7780,8073,8201,8380,8414,8441,8449,8394,8455,8064,8127,8400,8784,8916,8544,8377,8384,8220,8037,7620,7290,6887,6603,6424,6322,6257,6351,6409,6522,6756
"SE21 Småland and islands","35-44 years","post-secondary education 3 years or more (ISCED97 5A)","men",5335,5503,5507,5456,5669,5852,5640,5359,5042,5009,4837,4660,4533,4387,4318,4663,4813,5012,5177,5316,5608,5952,6407,6837,7284,7691,8155,8525,8905,9423,9896,10206,10489,10704,10747,10793
"SE21 Småland and islands","35-44 years","post-secondary education 3 years or more (ISCED97 5A)","women",5045,5255,5342,5393,5493,5505,5357,5124,4928,4922,4828,4766,4686,4660,4849,5861,6127,6518,6799,7460,8390,9238,10139,11116,11884,12799,13618,14369,15045,15786,16612,17290,17688,17974,18314,18554
"SE21 Småland and islands","35-44 years","post-graduate education (ISCED97 6)","men",239,253,232,209,205,121,110,107,98,113,117,127,127,123,141,150,183,199,218,217,227,246,268,286,300,309,291,294,295,324,327,355,364,357,360,334
"SE21 Småland and islands","35-44 years","post-graduate education (ISCED97 6)","women",114,105,105,102,92,20,25,25,22,39,41,37,37,37,43,59,82,88,97,113,125,142,158,176,192,217,218,240,258,266,274,288,298,307,290,278
"SE21 Småland and islands","35-44 years","no information about level of educational attainment","men",2107,2115,2167,2306,2646,505,734,883,1246,733,580,634,552,581,467,442,454,399,413,393,379,485,562,557,578,625,576,688,778,878,945,1145,1256,1407,1474,1505
"SE21 Småland and islands","35-44 years","no information about level of educational attainment","women",1501,1436,1535,1631,1938,300,482,629,980,476,454,439,429,463,370,333,381,341,364,381,340,416,443,447,486,488,449,462,536,570,606,779,807,865,924,932
"SE21 Småland and islands","45-54 years","primary and secondary education less than 9 years (ISCED97 1)","men",21593,21086,20883,20921,20821,20857,20740,20430,19891,19144,18220,17108,15515,13853,12054,9725,7927,6265,4865,3753,2780,2114,1665,1354,1157,1100,1075,1079,1101,1127,1194,1242,1271,1290,1323,1322
"SE21 Småland and islands","45-54 years","primary and secondary education less than 9 years (ISCED97 1)","women",20247,19583,18962,18561,17680,16508,15913,14722,13878,13128,12242,11232,10042,8820,7597,5994,4825,3902,3078,2450,1998,1622,1420,1311,1252,1262,1306,1317,1371,1416,1494,1555,1634,1701,1701,1745
"SE21 Småland and islands","45-54 years","primary and secondary education 9-10 years (ISCED97 2)","men",1757,1845,1975,2168,2437,2769,3146,3503,3901,4480,5013,5735,6603,7617,8673,8964,9709,10425,11009,11402,11684,11649,11579,11341,10953,10541,10030,9452,8852,8242,7738,7401,7030,6577,6138,5609
"SE21 Småland and islands","45-54 years","primary and secondary education 9-10 years (ISCED97 2)","women",3740,3851,4042,4276,4349,4597,4855,4821,5042,5212,5462,5738,6058,6672,7213,6637,6790,6901,6939,6934,6818,6579,6375,6126,5749,5391,5020,4683,4341,4021,3831,3725,3543,3382,3283,3102
"SE21 Småland and islands","45-54 years","upper secondary education, 2 years or less (ISCED97 3C)","men",8154,8539,9065,9671,10399,11072,11852,12620,13243,13810,14392,14916,15326,15677,15850,17219,17695,18146,18673,19202,19741,20280,20843,21518,22319,22906,23517,24269,24752,24995,25207,25224,24886,24188,23160,21429
"SE21 Småland and islands","45-54 years","upper secondary education, 2 years or less (ISCED97 3C)","women",10625,10958,11588,12539,13946,15757,16837,18461,19432,20132,20677,21229,21444,21194,20932,21754,21553,21174,20765,20460,20282,20076,19862,19712,19737,19506,19206,19007,18696,18193,17709,17311,16518,15702,14635,13416
"SE21 Småland and islands","45-54 years","upper secondary education 3 years (ISCED97 3A)","men",3891,4102,4453,4818,5164,6232,6647,7124,7470,7858,8071,8187,8235,8068,7821,7472,7182,6823,6478,6205,5996,5741,5628,5547,5530,5654,5807,5979,6121,6298,6413,6652,7017,7541,8307,9403
"SE21 Småland and islands","45-54 years","upper secondary education 3 years (ISCED97 3A)","women",907,957,1050,1202,1407,2046,2299,2634,2935,3294,3578,3852,4140,4264,4416,4949,5202,5421,5608,5834,6023,6270,6621,7034,7448,8002,8561,9114,9644,10013,10390,10654,10867,11046,11150,11333
"SE21 Småland and islands","45-54 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",2146,2276,2480,2684,2893,3614,3814,4035,4290,4668,5004,5301,5518,5712,5893,6059,6168,6227,6371,6332,6290,6300,6374,6474,6644,6856,7076,7366,7599,7853,8094,8324,8458,8488,8326,8181
"SE21 Småland and islands","45-54 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",2506,2693,2872,3102,3456,4384,4755,5099,5503,6049,6453,6846,7245,7623,7933,7168,7437,7659,8039,8160,8090,8061,8046,7988,8036,8112,8169,8346,8503,8615,8701,8773,8892,8898,8754,8430
"SE21 Småland and islands","45-54 years","post-secondary education 3 years or more (ISCED97 5A)","men",2697,2787,3011,3265,3817,4350,4734,5114,5463,5837,6083,6284,6290,6290,6188,6260,6093,5873,5653,5552,5469,5340,5358,5331,5368,5501,5647,5805,5994,6183,6406,6793,7149,7564,8039,8535
"SE21 Småland and islands","45-54 years","post-secondary education 3 years or more (ISCED97 5A)","women",2659,2830,3093,3400,3766,4113,4550,4915,5249,5655,5944,6151,6261,6327,6316,7440,7440,7416,7202,7188,7433,7597,7799,8061,8442,8760,9112,9445,9830,10345,10815,11474,12273,13069,13772,14607
"SE21 Småland and islands","45-54 years","post-graduate education (ISCED97 6)","men",189,202,221,245,270,232,233,233,238,250,251,254,236,233,226,223,223,222,239,242,261,267,281,284,283,291,311,327,357,365,378,393,423,453,465,490
"SE21 Småland and islands","45-54 years","post-graduate education (ISCED97 6)","women",36,48,62,77,95,35,36,40,50,51,52,62,59,57,57,63,72,71,75,82,95,110,125,146,165,183,203,235,241,269,266,280,296,310,336,362
"SE21 Småland and islands","45-54 years","no information about level of educational attainment","men",1120,1109,1155,1250,1411,268,359,392,586,365,346,362,327,327,305,299,324,309,318,321,299,456,404,443,438,431,403,369,413,428,434,577,611,660,727,779
"SE21 Småland and islands","45-54 years","no information about level of educational attainment","women",1003,945,949,975,1059,177,239,271,433,273,311,323,320,340,314,290,293,274,281,282,260,357,306,320,336,320,282,277,301,308,295,401,446,472,471,505
"SE21 Småland and islands","55-64 years","primary and secondary education less than 9 years (ISCED97 1)","men",26912,25912,24966,24007,23181,22828,22144,21561,21012,20692,20252,19738,19554,19553,19452,19106,18936,18661,18148,17340,16469,15422,14039,12550,11023,9283,7620,6041,4734,3688,2819,2201,1758,1510,1348,1300
"SE21 Småland and islands","55-64 years","primary and secondary education less than 9 years (ISCED97 1)","women",28188,26988,26128,25094,23993,23196,22201,20832,19837,19031,18170,17363,16695,16142,15638,14917,14357,13633,12896,12004,11164,10248,9160,8015,6889,5838,4776,3883,3140,2591,2189,1857,1673,1567,1518,1531
"SE21 Småland and islands","55-64 years","primary and secondary education 9-10 years (ISCED97 2)","men",1419,1405,1434,1436,1416,1444,1458,1491,1546,1589,1664,1766,1905,2123,2382,2548,2896,3244,3582,4112,4606,5252,5990,6855,7816,8639,9356,9974,10571,10917,11126,11121,11003,10787,10431,10014
"SE21 Småland and islands","55-64 years","primary and secondary education 9-10 years (ISCED97 2)","women",2877,2893,2945,2996,2998,2905,2994,2991,3029,3157,3241,3373,3527,3744,3986,4059,4231,4394,4603,4796,5013,5208,5418,5697,6006,6266,6439,6519,6528,6483,6359,6187,5982,5735,5368,5038
"SE21 Småland and islands","55-64 years","upper secondary education, 2 years or less (ISCED97 3C)","men",6680,6654,6706,6708,6750,6737,6815,6964,7139,7487,7772,8127,8601,9119,9799,10959,11800,12571,13302,13878,14471,15011,15478,15888,15973,16353,16798,17247,17773,18398,18938,19573,20198,20837,21715,22378
"SE21 Småland and islands","55-64 years","upper secondary education, 2 years or less (ISCED97 3C)","women",8559,8734,8895,8956,9322,9712,9974,10815,11212,11711,12168,12540,13215,14047,14969,16281,17409,18530,19469,20175,20722,21246,21493,21474,21161,20889,20659,20299,19824,19625,19448,19329,19192,19049,19160,19027
"SE21 Småland and islands","55-64 years","upper secondary education 3 years (ISCED97 3A)","men",3033,3002,3008,2991,3005,3336,3404,3521,3669,3914,4161,4379,4742,5149,5609,6058,6408,6887,7216,7504,7693,7847,7918,7771,7587,7276,7011,6658,6349,6045,5823,5582,5514,5473,5491,5643
"SE21 Småland and islands","55-64 years","upper secondary education 3 years (ISCED97 3A)","women",671,665,671,667,692,907,958,1038,1111,1197,1321,1400,1516,1698,1894,2147,2405,2688,3009,3339,3673,4032,4357,4538,4821,5059,5313,5494,5665,5889,6071,6320,6649,7068,7408,7943
"SE21 Småland and islands","55-64 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",1457,1501,1520,1544,1612,1878,2026,2128,2226,2368,2492,2653,2904,3125,3373,3587,3798,4082,4348,4707,5063,5364,5557,5759,5932,6076,6194,6286,6345,6298,6334,6389,6482,6664,6851,7123
"SE21 Småland and islands","55-64 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",1342,1398,1452,1506,1611,2001,2133,2320,2521,2681,2904,3127,3367,3658,3976,3786,4140,4451,4881,5342,5666,6024,6385,6679,6941,7101,7313,7451,7533,7620,7745,7809,7871,7932,8010,8222
"SE21 Småland and islands","55-64 years","post-secondary education 3 years or more (ISCED97 5A)","men",1836,1893,1997,2070,2224,2318,2390,2457,2586,2712,2832,2925,3175,3450,3790,4259,4676,5094,5489,5817,6103,6310,6388,6415,6373,6268,6147,6028,5822,5674,5618,5543,5509,5510,5536,5621
"SE21 Småland and islands","55-64 years","post-secondary education 3 years or more (ISCED97 5A)","women",1545,1682,1816,1898,2008,2050,2171,2290,2414,2533,2675,2844,3144,3458,3803,4789,5228,5682,6018,6424,6848,7135,7382,7574,7700,7818,7921,7984,8018,7972,8017,8110,8234,8412,8816,9146
"SE21 Småland and islands","55-64 years","post-graduate education (ISCED97 6)","men",127,122,127,132,140,155,161,160,167,178,195,207,217,230,256,268,287,301,294,315,318,324,318,307,296,295,295,292,299,309,321,316,317,324,332,352
"SE21 Småland and islands","55-64 years","post-graduate education (ISCED97 6)","women",15,17,14,19,22,26,29,25,26,31,36,43,49,53,62,68,74,80,95,110,113,116,116,115,124,135,146,157,168,183,206,227,240,259,267,282
"SE21 Småland and islands","55-64 years","no information about level of educational attainment","men",1036,977,968,938,980,178,194,227,297,350,344,337,312,329,332,348,375,353,372,372,364,388,367,367,373,386,309,325,350,348,353,383,405,446,475,466
"SE21 Småland and islands","55-64 years","no information about level of educational attainment","women",1092,955,953,933,931,150,204,238,296,420,473,496,431,434,427,431,448,424,440,435,379,413,394,369,379,371,284,292,296,293,298,344,365,398,410,392
"SE21 Småland and islands","65-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",28446,28156,27515,26873,26347,25904,25190,24594,24062,23400,22540,21740,21071,20283,19707,19177,18661,18258,17807,17581,17247,16840,16753,16744,16717,16763,16673,16548,16139,15465,14724,13806,12558,11199,9789,8183
"SE21 Småland and islands","65-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",31243,31189,30653,30240,29725,29343,28883,28185,27623,26905,25683,24535,23625,22557,21663,20706,19817,18899,18038,17283,16465,15681,15094,14576,14089,13630,13096,12512,11860,11078,10306,9508,8472,7409,6347,5315
"SE21 Småland and islands","65-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",1144,1158,1165,1183,1188,1209,1212,1224,1225,1243,1215,1204,1232,1219,1211,1250,1259,1316,1359,1401,1466,1540,1646,1844,2095,2350,2703,3086,3449,3939,4390,4969,5651,6395,7201,7875
"SE21 Småland and islands","65-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",2377,2421,2462,2468,2480,2524,2549,2563,2603,2623,2578,2592,2619,2622,2630,2646,2697,2778,2837,2947,3031,3158,3276,3456,3661,3843,4014,4186,4400,4582,4794,4998,5204,5394,5654,5839
"SE21 Småland and islands","65-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",4787,4970,5087,5252,5401,5509,5636,5733,5804,5805,5825,5797,5819,5786,5824,5911,6027,6187,6353,6726,7042,7435,7905,8484,9218,9884,10616,11255,11874,12375,12856,13304,13659,14024,14233,14803
"SE21 Småland and islands","65-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",5308,5708,6048,6376,6712,7050,7347,7662,8044,8355,8485,8740,8942,9148,9370,9538,9796,10175,10580,11092,11527,11898,12603,13530,14455,15433,16448,17383,18223,18794,19270,19691,19817,19793,19551,19471
"SE21 Småland and islands","65-74 years","upper secondary education 3 years (ISCED97 3A)","men",1818,1964,2084,2227,2310,2439,2582,2654,2766,2808,2806,2808,2824,2866,2899,2946,3053,3208,3369,3572,3804,4063,4398,4788,5202,5669,5997,6402,6761,7032,7189,7340,7417,7289,7104,6828
"SE21 Småland and islands","65-74 years","upper secondary education 3 years (ISCED97 3A)","women",416,445,484,524,566,596,614,643,675,702,732,761,813,841,876,908,963,1010,1093,1167,1282,1353,1445,1639,1848,2073,2318,2591,2890,3178,3507,3828,4141,4327,4617,4883
"SE21 Småland and islands","65-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",817,878,944,1003,1065,1125,1168,1225,1292,1307,1371,1429,1471,1521,1605,1667,1826,1924,2026,2161,2282,2415,2665,2910,3189,3429,3687,3937,4226,4544,4885,5130,5322,5574,5736,5898
