"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"23 Jämtland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",4576,4577,4646,4681,4585,5185,5473,5722,5944,6306,6669,6998,7288,7578,7796,8352,8614,8762,9133,9470,9900,10235,10598,10975,11417,11793,12102,12445,12767,12969,13201,13488,13625,13835
"23 Jämtland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",2517,2578,2693,2908,3059,3542,3834,3924,4245,4567,4961,5143,5371,5556,5685,6617,6893,7156,7539,7765,8115,8332,8663,8950,9363,9649,9795,10005,10262,10422,10553,10754,10830,10990
"23 Jämtland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",2888,3028,3106,3234,3309,3961,3994,4280,4533,4779,4859,4971,4987,5042,5063,4884,4852,4861,4950,4973,4947,4927,4928,4956,5049,5179,5252,5235,5302,5416,5532,5675,5736,5714
"23 Jämtland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",3367,3464,3572,3650,3850,4604,4738,5217,5462,5811,5904,6156,6256,6419,6511,5834,5854,5880,5965,5990,5980,5973,5966,5936,6015,6162,6280,6284,6311,6322,6347,6399,6482,6516
"23 Jämtland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",2555,2607,2636,2723,3128,3341,3400,3403,3457,3547,3535,3527,3517,3540,3544,4028,4118,4381,4480,4628,4725,4839,4918,5026,5103,5142,5212,5272,5392,5543,5679,5783,5918,6030
"23 Jämtland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",2554,2693,2736,2842,2963,3173,3288,3350,3433,3554,3657,3819,3957,4085,4222,5374,5639,5955,6198,6574,6993,7378,7729,8013,8224,8510,8696,8996,9236,9490,9744,10057,10382,10654
"23 Jämtland county","total 16-74 years","post-graduate education (ISCED97 6)","men",129,136,135,132,138,112,118,113,112,120,120,116,126,128,129,126,135,145,154,155,158,171,179,190,192,197,200,196,203,210,212,211,212,221
"23 Jämtland county","total 16-74 years","post-graduate education (ISCED97 6)","women",36,37,33,37,38,9,12,12,16,23,26,27,30,32,33,42,49,52,59,65,83,94,99,115,134,143,154,156,161,178,181,180,191,200
"23 Jämtland county","total 16-74 years","no information about level of educational attainment","men",2081,1940,1945,1981,2195,562,685,676,757,563,500,478,409,430,431,422,481,447,446,481,497,580,605,683,706,737,716,779,889,859,866,965,1040,1078
"23 Jämtland county","total 16-74 years","no information about level of educational attainment","women",1319,1198,1208,1218,1275,375,466,501,617,445,430,427,364,335,307,303,320,302,338,336,363,467,439,462,494,534,488,552,626,584,613,702,731,700
"24 Västerbotten county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",28052,26693,25384,24251,23057,21853,20703,19635,18630,17719,16758,15735,14808,13909,13054,12016,11270,10574,9905,9202,8613,7989,7442,6935,6433,5983,5510,5038,4604,4295,3982,3670,3351,3020
"24 Västerbotten county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",27092,26016,24863,23730,22392,21005,19858,18177,17109,16198,15095,14034,13050,12082,11174,10189,9384,8695,7987,7364,6798,6246,5777,5327,4899,4551,4197,3874,3563,3285,2999,2738,2492,2241
"24 Västerbotten county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",12079,11717,11662,11742,11906,11712,12009,11993,11833,11859,12315,12334,12550,12825,13135,12145,12277,12427,12558,12736,12980,13185,13421,13505,13555,13442,13135,12752,12507,12489,12391,12326,12381,12472
"24 Västerbotten county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",11731,11554,11613,11660,11604,10747,11022,10558,10310,10429,10761,10818,10975,11064,11183,10202,10191,10236,10292,10443,10546,10715,10859,10974,10879,10721,10339,10064,9677,9547,9310,9287,9405,9424
"24 Västerbotten county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",25898,26874,27792,28569,29163,30701,30677,30674,30556,30280,29645,29111,28673,28085,27658,27681,27453,27215,26829,26557,26235,26029,25859,25607,25243,24894,24632,24323,24064,23741,23427,23195,22802,22400
"24 Västerbotten county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",29850,30340,30884,31478,32164,33629,33600,34560,34367,33941,33274,32618,32047,31151,30453,29106,28546,27896,27284,26637,26048,25535,25039,24590,24079,23512,22994,22467,21914,21228,20681,20163,19531,18904
"24 Västerbotten county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",8950,8902,8925,9222,9311,10490,10926,11175,11805,12840,13611,14489,15147,15600,15852,16676,17095,17833,18533,19320,20207,20667,21414,22216,22899,23528,24156,24878,25405,25874,26281,26686,27296,27744
"24 Västerbotten county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",4993,5027,5241,5677,5954,6800,7308,7533,8088,8841,9513,10133,10722,10957,11274,12649,13125,13749,14113,14704,15272,15709,16292,16836,17381,17809,18247,18708,19116,19252,19570,19833,20141,20409
"24 Västerbotten county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",5897,6354,6573,6858,7185,8407,8732,9794,10707,11393,12022,12350,12743,13007,13309,12187,12145,12302,12521,12631,12776,12799,12727,12677,12812,13176,13531,13583,13717,13873,13995,14204,14334,14394
"24 Västerbotten county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",6662,7090,7252,7437,7921,9515,9759,11017,12152,13061,13689,14214,14600,15143,15494,13493,13447,13690,14084,14288,14039,13930,13682,13566,13669,13814,14011,14176,14324,14448,14597,14771,14765,14839
"24 Västerbotten county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",5618,5711,5752,5798,6115,6834,6856,6927,7034,7345,7398,7488,7569,7693,7899,9958,10378,10886,11488,12094,12626,12837,13148,13351,13726,13980,14236,14555,14960,15322,15529,15901,16152,16527
"24 Västerbotten county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",5865,6135,6289,6467,6748,7369,7530,7630,7899,8340,8646,8955,9338,9813,10339,13906,14612,15412,16108,17043,18239,18927,19568,20160,20588,21161,21804,22367,22956,23725,24271,24949,25596,26270
"24 Västerbotten county","total 16-74 years","post-graduate education (ISCED97 6)","men",734,790,832,868,902,894,916,922,950,1029,1055,1093,1131,1148,1212,1293,1323,1345,1406,1487,1515,1566,1611,1652,1702,1746,1765,1804,1844,1881,1907,1941,1965,1965
"24 Västerbotten county","total 16-74 years","post-graduate education (ISCED97 6)","women",203,233,255,274,290,209,221,243,256,314,330,348,365,389,433,489,522,560,614,679,738,778,857,911,1011,1090,1157,1222,1286,1365,1390,1428,1494,1553
"24 Västerbotten county","total 16-74 years","no information about level of educational attainment","men",2888,2813,2900,3074,3585,904,1270,1480,1730,1191,1017,1043,933,966,934,889,928,834,908,1008,1051,1194,1202,1358,1568,1746,1656,1656,1773,1690,1678,1864,2179,2310
"24 Västerbotten county","total 16-74 years","no information about level of educational attainment","women",2042,1932,1987,2074,2358,649,972,1138,1503,1002,939,971,879,984,904,755,770,749,828,828,845,959,903,995,1128,1203,1169,1150,1169,1168,1195,1347,1504,1517
"25 Norrbotten county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",28173,26881,25647,24540,23295,22502,21455,20403,19408,18547,17593,16686,15676,14765,13877,12799,11978,11301,10553,9812,9113,8484,7857,7305,6717,6181,5640,5163,4719,4241,3832,3487,3129,2768
"25 Norrbotten county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",27498,26283,25038,23837,22510,21211,20149,18697,17704,16949,15944,14974,13968,13035,12182,11202,10402,9650,8928,8232,7579,6984,6454,6001,5529,5142,4751,4244,3868,3484,3177,2920,2633,2388
"25 Norrbotten county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",13488,13311,13588,13533,13389,12685,12872,12746,12583,12569,13195,13221,13695,13953,14174,12749,12672,12777,12913,13021,13218,13490,13613,13722,13593,13481,13165,13054,12735,12724,12492,12537,12447,12407
"25 Norrbotten county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",13543,13551,13922,13919,13759,12598,12675,12123,11727,11739,12037,12062,12335,12535,12490,11038,10948,10966,10934,11027,11224,11361,11524,11459,11318,11025,10571,10226,9878,9677,9520,9519,9455,9400
"25 Norrbotten county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",30568,31445,32093,33015,33540,35601,35784,36073,36216,36126,34947,34338,33802,33169,32532,32554,32231,31830,31391,31048,30691,30565,30391,29996,29638,29261,28943,28644,28351,27985,27605,27207,26474,25931
"25 Norrbotten county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",32914,33361,33517,34174,34766,36876,36885,37861,37735,37291,36244,35511,34861,34085,33316,32163,31590,30861,30110,29476,28821,28309,27790,27254,26615,25928,25426,24820,24222,23540,22887,22210,21129,20330
"25 Norrbotten county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",11740,11736,11681,11859,11468,12832,13178,13700,14338,15067,15508,16259,16399,16709,16901,17806,18262,18480,18946,19631,20223,20752,21222,21870,22695,23187,23901,24566,25368,25824,26238,26602,27462,27757
"25 Norrbotten county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",5230,5516,5610,5961,6246,7682,8199,8781,9447,9982,10368,10726,10812,11005,11222,13123,13409,13888,14220,14581,15187,15667,16032,16673,17247,17733,18298,18746,19171,19514,19721,19900,20582,20641
"25 Norrbotten county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",6256,6540,6842,7145,7322,8461,8604,8951,9285,9700,10037,10227,10472,10584,10733,10370,10451,10567,10616,10535,10485,10561,10522,10480,10552,10713,10941,11079,11292,11539,11546,11667,11726,11751
"25 Norrbotten county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",6641,6836,7013,7245,7720,9035,9246,9569,9977,10633,11317,11727,11974,12209,12496,11314,11454,11616,12063,12055,11591,11502,11401,11381,11452,11687,11768,11877,12041,12109,12107,12173,12260,12158
"25 Norrbotten county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",5136,5189,5229,5311,6309,6578,6641,6739,6812,7004,6981,7013,7035,7089,7101,8230,8371,8969,9285,9710,9948,10090,10149,10276,10378,10540,10616,10745,10987,11249,11386,11495,11545,11581
"25 Norrbotten county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",5139,5304,5468,5570,5808,6047,6136,6291,6499,6833,7039,7302,7636,7995,8322,10623,11070,11641,12098,12904,13905,14604,15101,15536,15942,16336,16834,17369,17939,18454,18861,19246,19542,19963
"25 Norrbotten county","total 16-74 years","post-graduate education (ISCED97 6)","men",260,264,266,271,296,292,314,324,350,410,430,446,467,468,493,528,531,554,560,602,645,673,673,701,710,720,758,799,816,840,881,880,888,867
"25 Norrbotten county","total 16-74 years","post-graduate education (ISCED97 6)","women",74,78,82,87,91,42,45,49,55,76,84,87,103,109,123,147,162,173,192,217,239,270,289,321,342,354,369,399,416,438,464,486,504,513
"25 Norrbotten county","total 16-74 years","no information about level of educational attainment","men",3568,3400,3461,3529,3845,842,1156,1327,1608,1207,1004,985,918,960,903,885,927,858,997,1024,1093,1297,1303,1273,1349,1427,1393,1479,1514,1547,1592,1870,2124,2028
"25 Norrbotten county","total 16-74 years","no information about level of educational attainment","women",3074,2873,2920,2942,3091,639,914,1002,1367,951,830,840,759,787,769,704,763,629,739,815,774,911,900,928,928,976,963,1016,1079,1070,1115,1214,1334,1215
