"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"05 Östergötland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",9568,9845,10004,10159,10924,11860,12056,12072,12119,12613,12734,12888,13075,13246,13480,16196,16931,17823,18560,19251,19832,20439,21173,21834,22556,23244,23682,24404,25151,25804,26311,27169,27817,28465
"05 Östergötland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",7954,8311,8587,8929,9329,9923,10164,10273,10473,11219,11541,11961,12442,12937,13619,17746,18916,20056,21079,22378,23662,24843,26144,27203,28445,29685,30804,31973,33261,34384,35433,36781,37826,39127
"05 Östergötland county","total 16-74 years","post-graduate education (ISCED97 6)","men",840,906,935,983,1068,1072,1102,1115,1158,1279,1311,1355,1401,1451,1525,1591,1675,1749,1806,1861,1902,1949,1989,2040,2081,2126,2198,2247,2318,2396,2447,2449,2531,2563
"05 Östergötland county","total 16-74 years","post-graduate education (ISCED97 6)","women",237,251,268,273,295,194,211,228,244,297,323,351,360,376,425,483,534,584,651,723,775,814,869,922,1005,1059,1129,1194,1258,1339,1405,1451,1508,1550
"05 Östergötland county","total 16-74 years","no information about level of educational attainment","men",6879,6483,6553,6658,7201,1389,1941,2439,3239,2356,2020,2081,1973,2034,1876,1802,1891,1624,1839,1917,2010,2214,2394,2544,3026,2962,2689,2730,2883,2884,3029,3627,4034,4329
"05 Östergötland county","total 16-74 years","no information about level of educational attainment","women",5687,5166,5333,5297,5487,1285,1765,2198,3075,2288,2234,2216,2120,2156,1994,1842,1974,1799,1962,1961,1974,2268,2194,2410,2833,2720,2466,2444,2598,2442,2524,2838,2964,3035
"06 Jönköping county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",39708,38354,36708,35259,33768,33032,31586,30160,28787,27702,26393,25088,23830,22642,21564,20143,19107,18227,17424,16593,15718,14962,14345,13725,13048,12428,11784,11112,10525,10041,9586,9199,8619,8060
"06 Jönköping county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",39363,38137,36551,35193,33290,31605,30127,28266,26792,25844,24482,23069,21782,20544,19444,17911,16871,15882,14959,14085,13252,12450,11796,11183,10543,9990,9430,8837,8421,8045,7715,7374,6951,6560
"06 Jönköping county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",17178,17574,17639,17854,18014,20089,19959,19808,19647,19764,20682,20759,21072,21339,21840,20681,20643,20909,21015,21287,21538,21885,22277,22518,22507,22253,22007,21619,21286,21529,21347,21343,21438,21772
"06 Jönköping county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",18984,19085,19219,19311,18843,18748,18649,17963,17572,17737,18204,18192,18416,18658,18880,17073,16948,16990,16912,16966,17118,17388,17507,17504,17274,17026,16616,16102,15422,15316,15073,15004,14946,15141
