Utbildningsgrupp (SUN 2000),SUN 2000,2006 Samtliga,2006 Kvinnor,2006 Män,2007 Samtliga,2007 Kvinnor,2007 Män,2008 Samtliga,2008 Kvinnor,2008 Män,2009 Samtliga,2009 Kvinnor,2009 Män,2010 Samtliga,2010 Kvinnor,2010 Män,2011 Samtliga,2011 Kvinnor,2011 Män,2012 Samtliga,2012 Kvinnor,2012 Män,2013 Samtliga,2013 Kvinnor,2013 Män,2014 Samtliga,2014 Kvinnor,2014 Män,2015 Samtliga,2015 Kvinnor,2015 Män,2016 Samtliga,2016 Kvinnor,2016 Män,2017 Samtliga,2017 Kvinnor,2017 Män,2018 Samtliga,2018 Kvinnor,2018 Män
Teknik och tillverkning,"Ingenjörsutbildning: väg och vatten, byggnad, lantmäteri (eftergymn)                                ",19075,3760,15315,19555,3996,15559,19985,4177,15808,20568,4420,16148,21260,4734,16526,21914,5090,16824,22610,5397,17213,23467,5834,17633,24305,6233,18072,25397,6732,18665,26367,7182,19185,27247,7688,19559,27803,8140,19663
Teknik och tillverkning,"Ingenjörsutbildning: maskin, fordon/farkost, industriell ekonomi (eftergymn)                        ",34839,4058,30781,35362,4272,31090,35822,4436,31386,36451,4659,31792,36974,4818,32156,37253,4980,32273,37598,5148,32450,37981,5271,32710,38551,5506,33045,39090,5750,33340,39709,6019,33690,40258,6334,33924,40560,6598,33962
Teknik och tillverkning,"Ingenjörsutbildning: elektroteknik, teknisk fysik, data (eftergymn)                                 ",48935,5394,43541,49626,5506,44120,50244,5630,44614,51232,5748,45484,51640,5826,45814,51701,5834,45867,51713,5882,45831,51897,5949,45948,52131,6052,46079,52579,6196,46383,52911,6332,46579,53141,6456,46685,52690,6580,46110
Teknik och tillverkning,"Ingenjörsutbildning: kemi o bioteknik, material- o geoteknik (eftergymn)                            ",7274,3503,3771,7352,3557,3795,7444,3613,3831,7625,3710,3915,7699,3757,3942,7735,3770,3965,7725,3798,3927,7755,3829,3926,7817,3895,3922,7867,3950,3917,7938,4017,3921,7953,4085,3868,7824,4099,3725
Teknik och tillverkning,Ingenjörsutbildning; övrig/ospec. inriktning (eftergymnasial)                                       ,25061,2376,22685,24646,2348,22298,24203,2342,21861,23747,2358,21389,23129,2345,20784,22508,2338,20170,21796,2336,19460,20753,2321,18432,19176,2311,16865,17072,2266,14806,15442,2278,13164,14267,2275,11992,14097,2290,11807
Teknik och tillverkning,Övrig eftergymnasial utbildning inom teknik och tillverkning                                        ,33537,5851,27686,35798,6357,29441,38431,7047,31384,41093,7734,33359,44222,8602,35620,47708,9414,38294,50988,10251,40737,54501,11061,43440,58808,12108,46700,63301,13138,50163,68356,14326,54030,72935,15443,57492,76661,16424,60237
Lant- och skogsbruk samt djursjukvård,Gymnasial utbildning inom lant- och skogsbruk samt djursjukvård                                     ,60555,15643,44912,60426,16153,44273,60134,16719,43415,59949,17347,42602,59829,18044,41785,60305,18950,41355,60886,19837,41049,61556,20733,40823,62388,21693,40695,63448,22774,40674,64674,23889,40785,66040,24995,41045,67195,25913,41282
Lant- och skogsbruk samt djursjukvård,"Minst 30 (nya) högskolepoäng inom lant- o skogsbruk/djursjukvård, ej examen                         ",1847,953,894,2056,1062,994,2135,1093,1042,2227,1121,1106,2390,1224,1166,2510,1293,1217,2633,1379,1254,2742,1438,1304,2906,1550,1356,2980,1580,1400,3099,1657,1442,3207,1684,1523,3395,1793,1602
Lant- och skogsbruk samt djursjukvård,Jordbruksvetenskaplig högskoleutbildning (minst 3 år)                                               ,4450,2150,2300,4455,2192,2263,4506,2268,2238,4511,2322,2189,4531,2372,2159,4557,2426,2131,4516,2458,2058,4547,2528,2019,4605,2628,1977,4688,2714,1974,4849,2830,2019,4947,2920,2027,5039,3000,2039
Lant- och skogsbruk samt djursjukvård,Skogsbruksvetenskaplig högskoleutbildning (minst 3 år)                                              ,2033,341,1692,2054,350,1704,2090,373,1717,2157,395,1762,2196,425,1771,2267,444,1823,2345,473,1872,2400,502,1898,2466,527,1939,2564,570,1994,2669,612,2057,2769,663,2106,2847,700,2147
Lant- och skogsbruk samt djursjukvård,Veterinärutbildning                                                                                 ,2396,1485,911,2493,1589,904,2590,1693,897,2657,1767,890,2762,1886,876,2826,1974,852,2925,2088,837,3002,2193,809,3084,2293,791,3187,2405,782,3256,2480,776,3342,2573,769,3424,2671,753
Lant- och skogsbruk samt djursjukvård,"Övrig eftergymnasial utbildning inom lant- och skogsbruk, djursjukvård                              ",10179,2289,7890,10543,2607,7936,10979,2979,8000,11265,3297,7968,11579,3615,7964,11969,3961,8008,12314,4254,8060,12648,4570,8078,13024,4824,8200,13465,5172,8293,13858,5447,8411,14050,5726,8324,14341,6056,8285
Hälso- och sjukvård samt social omsorg,Gymnasial utbildning med inriktning mot barn och ungdom                                             ,87227,78382,8845,88310,78853,9457,88789,78754,10035,89064,78479,10585,89256,78047,11209,89444,77584,11860,90109,77507,12602,90549,77167,13382,90911,76764,14147,91400,76469,14931,91614,75982,15632,91491,75315,16176,90787,74191,16596
Hälso- och sjukvård samt social omsorg,Omvårdnads- och omsorgsutbildning på gymnasial nivå                                                 ,224106,205838,18268,223659,205106,18553,222270,203481,18789,220063,201178,18885,218085,199086,18999,217011,197685,19326,215603,196067,19536,214336,194599,19737,213893,193611,20282,213977,193121,20856,214097,192480,21617,214104,191476,22628,213145,189533,23612
Hälso- och sjukvård samt social omsorg,Tandvårdsutbildning på gymnasial nivå                                                               ,14223,13129,1094,13860,12795,1065,13382,12344,1038,12908,11894,1014,12422,11438,984,11923,10978,945,11412,10497,915,10910,10025,885,10340,9477,863,9779,8962,817,9261,8469,792,8684,7929,755,8056,7358,698
Hälso- och sjukvård samt social omsorg,Övrig gymnasial utbildning inom hälso- och sjukvård/social omsorg                                   ,25112,21008,4104,23970,20006,3964,22810,18942,3868,21628,17876,3752,20389,16751,3638,19233,15718,3515,18058,14640,3418,17010,13675,3335,16158,12882,3276,15292,12080,3212,14820,11538,3282,14102,10908,3194,13533,10442,3091
Hälso- och sjukvård samt social omsorg,"Minst 30 (nya) högskolepoäng inom hälso- o sjukvård/social omsorg, ej examen                        ",28600,22709,5891,29079,22840,6239,30023,23578,6445,30840,24203,6637,31596,24541,7055,32033,24586,7447,32589,24967,7622,33262,25410,7852,33590,25622,7968,34268,26031,8237,35194,26622,8572,36471,27503,8968,37886,28504,9382
Hälso- och sjukvård samt social omsorg,Apotekarutbildning                                                                                  ,3166,2163,1003,3279,2287,992,3356,2373,983,3457,2471,986,3622,2615,1007,3994,2881,1113,4277,3087,1190,4462,3233,1229,4621,3362,1259,4828,3518,1310,5043,3666,1377,5277,3831,1446,5475,3978,1497
Hälso- och sjukvård samt social omsorg,Arbetsterapeututbildning                                                                            ,9590,9154,436,9770,9313,457,9912,9433,479,9822,9351,471,10171,9650,521,10272,9721,551,10365,9798,567,10382,9798,584,10449,9835,614,10540,9884,656,10647,9965,682,10722,10001,721,10824,10058,766
Hälso- och sjukvård samt social omsorg,Biomedicinsk analytiker- och laboratorieassistentutbildning                                         ,12278,11296,982,12262,11260,1002,12051,11048,1003,12079,11015,1064,11804,10715,1089,11487,10380,1107,11140,10031,1109,10779,9672,1107,10447,9351,1096,10109,9007,1102,9838,8708,1130,9606,8450,1156,9361,8186,1175
Hälso- och sjukvård samt social omsorg,Fritidsledarutbildning (eftergymnasial)                                                             ,13902,7016,6886,13755,6926,6829,13668,6872,6796,13620,6877,6743,13613,6901,6712,13534,6874,6660,13486,6862,6624,13367,6818,6549,13259,6768,6491,13115,6714,6401,12931,6620,6311,12639,6509,6130,12344,6338,6006
