"region","occupation (SSYK 2012)","age","sex","2014","2015","2016","2017"
"12 Skåne county","311 Physical and engineering science technicians","40-44 years","men",1126,1239,1246,1185
"12 Skåne county","311 Physical and engineering science technicians","40-44 years","women",304,303,303,301
"12 Skåne county","311 Physical and engineering science technicians","45-49 years","men",1278,1291,1325,1314
"12 Skåne county","311 Physical and engineering science technicians","45-49 years","women",255,290,268,291
"12 Skåne county","311 Physical and engineering science technicians","50-54 years","men",1040,1136,1213,1306
"12 Skåne county","311 Physical and engineering science technicians","50-54 years","women",157,181,209,249
"12 Skåne county","311 Physical and engineering science technicians","55-59 years","men",914,962,974,983
"12 Skåne county","311 Physical and engineering science technicians","55-59 years","women",134,130,125,124
"12 Skåne county","311 Physical and engineering science technicians","60-64 years","men",707,723,764,797
"12 Skåne county","311 Physical and engineering science technicians","60-64 years","women",90,99,96,106
"13 Halland county","311 Physical and engineering science technicians","16-24 years","men",53,52,47,47
"13 Halland county","311 Physical and engineering science technicians","16-24 years","women",16,13,18,25
"13 Halland county","311 Physical and engineering science technicians","25-29 years","men",159,159,189,186
"13 Halland county","311 Physical and engineering science technicians","25-29 years","women",53,49,49,66
"13 Halland county","311 Physical and engineering science technicians","30-34 years","men",220,226,239,233
"13 Halland county","311 Physical and engineering science technicians","30-34 years","women",59,70,66,64
"13 Halland county","311 Physical and engineering science technicians","35-39 years","men",260,265,256,265
"13 Halland county","311 Physical and engineering science technicians","35-39 years","women",54,55,70,89
"13 Halland county","311 Physical and engineering science technicians","40-44 years","men",331,328,296,290
"13 Halland county","311 Physical and engineering science technicians","40-44 years","women",57,54,51,61
"13 Halland county","311 Physical and engineering science technicians","45-49 years","men",346,346,359,331
"13 Halland county","311 Physical and engineering science technicians","45-49 years","women",61,71,83,76
"13 Halland county","311 Physical and engineering science technicians","50-54 years","men",273,304,319,353
"13 Halland county","311 Physical and engineering science technicians","50-54 years","women",37,45,40,39
"13 Halland county","311 Physical and engineering science technicians","55-59 years","men",261,249,257,248
"13 Halland county","311 Physical and engineering science technicians","55-59 years","women",32,34,24,30
"13 Halland county","311 Physical and engineering science technicians","60-64 years","men",189,178,187,216
"13 Halland county","311 Physical and engineering science technicians","60-64 years","women",20,23,25,21
"14 Västra Götaland county","311 Physical and engineering science technicians","16-24 years","men",456,471,525,590
"14 Västra Götaland county","311 Physical and engineering science technicians","16-24 years","women",126,119,176,210
"14 Västra Götaland county","311 Physical and engineering science technicians","25-29 years","men",1330,1364,1677,1890
"14 Västra Götaland county","311 Physical and engineering science technicians","25-29 years","women",422,462,619,705
"14 Västra Götaland county","311 Physical and engineering science technicians","30-34 years","men",1762,1717,1845,2002
"14 Västra Götaland county","311 Physical and engineering science technicians","30-34 years","women",548,528,584,612
"14 Västra Götaland county","311 Physical and engineering science technicians","35-39 years","men",2109,2027,1951,2016
"14 Västra Götaland county","311 Physical and engineering science technicians","35-39 years","women",606,574,553,606
"14 Västra Götaland county","311 Physical and engineering science technicians","40-44 years","men",2372,2217,2195,2230
"14 Västra Götaland county","311 Physical and engineering science technicians","40-44 years","women",552,525,521,529
"14 Västra Götaland county","311 Physical and engineering science technicians","45-49 years","men",2484,2305,2278,2239
"14 Västra Götaland county","311 Physical and engineering science technicians","45-49 years","women",577,522,480,522
"14 Västra Götaland county","311 Physical and engineering science technicians","50-54 years","men",2085,2077,2233,2412
"14 Västra Götaland county","311 Physical and engineering science technicians","50-54 years","women",346,395,403,465
"14 Västra Götaland county","311 Physical and engineering science technicians","55-59 years","men",1771,1714,1714,1767
"14 Västra Götaland county","311 Physical and engineering science technicians","55-59 years","women",237,227,253,289
"14 Västra Götaland county","311 Physical and engineering science technicians","60-64 years","men",1274,1268,1332,1393
"14 Västra Götaland county","311 Physical and engineering science technicians","60-64 years","women",150,138,157,167
"17 Värmland county","311 Physical and engineering science technicians","16-24 years","men",66,62,63,51
"17 Värmland county","311 Physical and engineering science technicians","16-24 years","women",20,13,16,19
"17 Värmland county","311 Physical and engineering science technicians","25-29 years","men",150,163,176,192
"17 Värmland county","311 Physical and engineering science technicians","25-29 years","women",44,49,64,77
"17 Värmland county","311 Physical and engineering science technicians","30-34 years","men",166,173,215,222
"17 Värmland county","311 Physical and engineering science technicians","30-34 years","women",45,43,55,64
"17 Värmland county","311 Physical and engineering science technicians","35-39 years","men",206,208,232,209
"17 Värmland county","311 Physical and engineering science technicians","35-39 years","women",49,46,59,67
"17 Värmland county","311 Physical and engineering science technicians","40-44 years","men",293,275,275,266
"17 Värmland county","311 Physical and engineering science technicians","40-44 years","women",73,74,75,62
"17 Värmland county","311 Physical and engineering science technicians","45-49 years","men",306,299,333,318
"17 Värmland county","311 Physical and engineering science technicians","45-49 years","women",56,58,61,71
"17 Värmland county","311 Physical and engineering science technicians","50-54 years","men",254,258,311,322
"17 Värmland county","311 Physical and engineering science technicians","50-54 years","women",42,45,51,54
"17 Värmland county","311 Physical and engineering science technicians","55-59 years","men",259,232,262,261
"17 Värmland county","311 Physical and engineering science technicians","55-59 years","women",38,34,43,36
"17 Värmland county","311 Physical and engineering science technicians","60-64 years","men",235,223,224,218
"17 Värmland county","311 Physical and engineering science technicians","60-64 years","women",17,16,26,33
"18 Örebro county","311 Physical and engineering science technicians","16-24 years","men",50,43,52,52
"18 Örebro county","311 Physical and engineering science technicians","16-24 years","women",16,16,32,22
"18 Örebro county","311 Physical and engineering science technicians","25-29 years","men",186,188,199,166
"18 Örebro county","311 Physical and engineering science technicians","25-29 years","women",61,72,56,69
"18 Örebro county","311 Physical and engineering science technicians","30-34 years","men",245,232,231,264
"18 Örebro county","311 Physical and engineering science technicians","30-34 years","women",50,55,57,67
"18 Örebro county","311 Physical and engineering science technicians","35-39 years","men",271,262,266,269
"18 Örebro county","311 Physical and engineering science technicians","35-39 years","women",59,60,52,39
"18 Örebro county","311 Physical and engineering science technicians","40-44 years","men",395,387,352,322
"18 Örebro county","311 Physical and engineering science technicians","40-44 years","women",83,77,78,74
"18 Örebro county","311 Physical and engineering science technicians","45-49 years","men",396,405,424,411
"18 Örebro county","311 Physical and engineering science technicians","45-49 years","women",110,106,91,88
"18 Örebro county","311 Physical and engineering science technicians","50-54 years","men",313,332,354,385
"18 Örebro county","311 Physical and engineering science technicians","50-54 years","women",84,85,97,93
"18 Örebro county","311 Physical and engineering science technicians","55-59 years","men",280,304,326,299
"18 Örebro county","311 Physical and engineering science technicians","55-59 years","women",71,61,65,53
"18 Örebro county","311 Physical and engineering science technicians","60-64 years","men",229,247,273,257
"18 Örebro county","311 Physical and engineering science technicians","60-64 years","women",31,22,33,35
"19 Västmanland county","311 Physical and engineering science technicians","16-24 years","men",80,87,75,77
"19 Västmanland county","311 Physical and engineering science technicians","16-24 years","women",16,14,29,25
"19 Västmanland county","311 Physical and engineering science technicians","25-29 years","men",177,174,190,199
"19 Västmanland county","311 Physical and engineering science technicians","25-29 years","women",51,50,57,50
"19 Västmanland county","311 Physical and engineering science technicians","30-34 years","men",282,266,293,296
"19 Västmanland county","311 Physical and engineering science technicians","30-34 years","women",59,56,68,80
"19 Västmanland county","311 Physical and engineering science technicians","35-39 years","men",294,313,333,308
"19 Västmanland county","311 Physical and engineering science technicians","35-39 years","women",72,76,101,99
"19 Västmanland county","311 Physical and engineering science technicians","40-44 years","men",397,394,362,358
"19 Västmanland county","311 Physical and engineering science technicians","40-44 years","women",69,75,91,92
"19 Västmanland county","311 Physical and engineering science technicians","45-49 years","men",420,411,431,441
"19 Västmanland county","311 Physical and engineering science technicians","45-49 years","women",90,82,96,91
"19 Västmanland county","311 Physical and engineering science technicians","50-54 years","men",379,403,416,435
"19 Västmanland county","311 Physical and engineering science technicians","50-54 years","women",64,69,76,91
"19 Västmanland county","311 Physical and engineering science technicians","55-59 years","men",366,364,364,396
"19 Västmanland county","311 Physical and engineering science technicians","55-59 years","women",44,41,58,60
"19 Västmanland county","311 Physical and engineering science technicians","60-64 years","men",288,273,322,301
"19 Västmanland county","311 Physical and engineering science technicians","60-64 years","women",35,35,45,51
"20 Dalarna county","311 Physical and engineering science technicians","16-24 years","men",73,86,74,84
"20 Dalarna county","311 Physical and engineering science technicians","16-24 years","women",19,21,17,19
"20 Dalarna county","311 Physical and engineering science technicians","25-29 years","men",148,155,191,192
"20 Dalarna county","311 Physical and engineering science technicians","25-29 years","women",48,46,48,49
"20 Dalarna county","311 Physical and engineering science technicians","30-34 years","men",202,205,211,225
"20 Dalarna county","311 Physical and engineering science technicians","30-34 years","women",46,52,53,72
"20 Dalarna county","311 Physical and engineering science technicians","35-39 years","men",254,239,248,263
"20 Dalarna county","311 Physical and engineering science technicians","35-39 years","women",67,74,83,88
"20 Dalarna county","311 Physical and engineering science technicians","40-44 years","men",315,298,340,312
"20 Dalarna county","311 Physical and engineering science technicians","40-44 years","women",64,68,68,65
"20 Dalarna county","311 Physical and engineering science technicians","45-49 years","men",358,324,333,319
"20 Dalarna county","311 Physical and engineering science technicians","45-49 years","women",67,76,76,78
"20 Dalarna county","311 Physical and engineering science technicians","50-54 years","men",337,363,387,392
"20 Dalarna county","311 Physical and engineering science technicians","50-54 years","women",39,48,56,78
